,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k_cat_hyper,10.3,7.29,1163.0,1714.0,1.0
k_GDH_cat[1],0.07,0.05,4374.0,3463.0,1.0
k_GDH_cat[2],0.31,0.23,4159.0,3295.0,1.0
k_GDH_cat[3],0.06,0.04,4464.0,3944.0,1.0
k_HK_cat,0.47,0.39,4972.0,2798.0,1.0
K_GDH_G,20.52,15.48,4518.0,3262.0,1.0
K_GDH_NAD,0.75,0.62,4937.0,4050.0,1.0
K_HK_G,3.5,2.47,2120.0,3584.0,1.0
K_HK_ATP,13.33,11.48,2030.0,2290.0,1.0
sigma,0.0,0.0,7195.0,5833.0,1.0
sigma_HK[SNCA17],1.39,0.98,2462.0,3719.0,1.0
sigma_HK[SNCA18],1.44,1.08,7794.0,5116.0,1.0
sigma_HK[SNKS03],0.58,0.41,2484.0,4945.0,1.0
sigma_HK[SNKS04],0.77,0.55,2726.0,4230.0,1.0
sigma_GDH[SNCA14],0.48,0.39,6051.0,3925.0,1.0
sigma_GDH[SNCA15],0.3,0.22,6236.0,4164.0,1.0
sigma_GDH[SNKS11],0.48,0.38,8520.0,4796.0,1.0
sigma_GDH[SNKS12],0.5,0.39,8737.0,5330.0,1.0
sigma_GDH[SNKS18],0.11,0.08,5624.0,4523.0,1.0
sigma_HK_GDH_1[SNKS06],1.22,0.91,8526.0,5309.0,1.0
sigma_HK_GDH_2[SNNS002],0.02,0.01,4710.0,4867.0,1.0
sigma_HK_GDH_2[SNNS003],0.19,0.14,7393.0,3944.0,1.0
sigma_HK_GDH_2[SNNS004],0.06,0.05,6504.0,4159.0,1.0
sigma_HK_GDH_2[SNNS005],0.2,0.15,7370.0,4777.0,1.0
sigma_HK_GDH_2[SNNS006],0.44,0.34,8358.0,3739.0,1.0
sigma_HK_GDH_2[SNNS007],0.16,0.12,8927.0,5406.0,1.0
